pdb_id,chain,split,cv_batch,n_residues,n_binding,row_hash
5veo,A,training,3,374,10,504a6be9
5vgr,A,training,3,408,13,fa67639b
5vgs,A,training,4,153,5,247472ea
5vhc,D,training,3,799,13,ded33f35
5via,A,val,0,278,20,917ab066
5viv,A,training,2,301,18,f4c4812e
5vj0,A,training,2,298,16,05fa2f11
5vje,B,val,0,341,12,c386fd50
5vjn,A,training,2,176,11,f986630e
5vka,A,training,4,340,15,abc8cf0a
5vkt,A,training,5,353,25,390fd035
5vlc,B,training,2,432,10,0a2a3f4c
5vle,A,training,2,262,20,67d62f16
5vmt,A,training,5,333,15,ba84d8c2
5vn0,A,training,4,449,31,03855ad4
5vo3,A,training,5,380,12,96e31046
5voh,B,val,0,447,35,da54d052
5vop,B,training,1,282,11,e54df3dd
5vqe,A,training,5,559,8,aa35fdd2
5vvi,A,testing,0,200,8,b7ce8eb4
5vw4,A,training,4,309,19,372570b9
5vws,A,training,1,376,14,39f6d23b
5vxa,A,training,5,178,16,d59ab354
5vxc,A,training,5,301,8,573ee09b
5vyq,A,training,4,235,22,45ebd870
5vyu,A,training,2,244,18,303eaf90
5w0i,A,training,5,114,9,27572a34
5w0o,A,training,3,338,10,a4087693
5w2i,A,testing,0,239,16,e3dbf1a3
5w2q,A,training,2,414,15,a998a5fc
5w3k,A,training,3,326,14,5eb0e628
5w3x,A,training,1,335,16,3cfdb70b
5w5r,C,training,4,415,5,858652ee
5w70,B,training,3,414,10,ccbe5b49
5w75,A,training,1,384,13,f0ff6a6f
5w7e,A,training,3,521,10,4d37ffa0
5w7m,A,training,3,273,13,0a3f7da9
5w7p,A,training,4,396,12,9ab4ed9a
5w8j,A,val,0,329,22,7c4e0df0
5w8x,A,training,1,366,8,da944c98
5wan,A,training,3,341,9,bfe38dfe
5wc4,A,val,0,379,17,0406dc2c
5wcj,A,training,1,222,10,149411ac
5wcz,A,training,4,556,10,a271a1f4
5wde,A,training,4,320,9,1d4ade66
5wdh,A,val,0,296,11,28f9acd2
5wdk,D,training,3,363,8,c526bbbf
5we8,A,training,1,270,20,a23dfaa0
5wed,C,testing,0,394,18,445e958a
5wgc,A,training,3,341,8,09920a92
5wgx,A,training,4,664,31,f409d08b
5wi3,A,training,3,243,12,e7daa1b7
5wje,A,training,1,159,17,bc5117fd
5wjj,A,training,1,338,15,bc5898ae
5wlo,B,training,3,99,8,41aadbb7
5wm2,A,training,4,536,13,b1103e8e
5wnl,A,training,4,262,11,33f36b67
5wno,A,val,0,302,11,f91a650b
5wo0,A,testing,0,326,12,3ad8b704
5wp4,A,training,1,485,42,5481bce2
5wp5,A,training,2,463,22,138a9d34
5wpb,A,training,5,101,8,636ae9e3
5wpj,A,training,1,369,9,fd7c9d58
5wqi,D,training,5,140,10,6b822984
5wqj,A,training,1,287,13,06aad349
5wr5,A,training,3,316,9,32a81c12
5wre,E,training,3,142,19,a3146bf0
5wri,B,training,1,273,16,38231fbc
5ws7,A,training,4,156,10,7133efad
5ws9,B,testing,0,471,21,e5cde443
5wt2,A,training,3,355,10,90fc5c86
5wuw,A,training,4,245,16,521c426b
5wx3,C,training,2,353,14,7095814b
5wx6,D,training,2,375,11,0fea2f72
5wx7,D,training,4,368,12,6730f9d9
5wxb,A,training,3,264,13,d3ad4951
5wy0,A,training,2,199,10,8cde4100
5wyq,A,testing,0,238,14,f7891e5e
5x02,A,training,4,305,14,9642a6d7
5x03,A,training,1,363,8,6e0b01dd
5x0j,A,training,4,241,18,87fa0104
5x17,B,training,3,289,12,c10a6dff
5x1n,A,testing,0,460,12,267fdeda
5x20,A,training,4,312,21,09909590
5x23,A,training,3,463,38,49416777
5x30,D,training,2,398,11,84927d58
5x3d,A,training,1,126,16,61da5709
5x3r,A,training,4,199,11,61b9f9c4
5x40,A,training,4,280,18,acb16663
5x49,A,val,0,441,8,2a3d7351
5x5h,A,training,4,385,7,44ebad67
5x5o,A,training,5,291,13,eb06cae0
5x5u,B,training,4,476,14,50533bba
5x62,A,training,3,376,12,b31c181a
5x66,A,training,4,288,16,4fc61d02
5x68,A,training,1,349,20,727c1be8
5x6j,A,testing,0,213,27,6e33ae81
5x6k,A,testing,0,185,23,81f39f67
5x7n,A,training,5,442,9,ecfd67e8
5x86,A,training,3,188,12,00cc78a0
5x8f,A,training,5,483,32,60e6a846
5x8s,A,training,3,235,6,0136e9c8
5xbi,B,val,0,148,6,6bffb818
5xdc,C,training,1,401,9,4ae9da4e
5xe0,A,testing,0,457,9,5224230a
5xeg,A,training,1,219,9,940ae0a9
5xet,C,training,4,505,16,ab70bab7
5xey,B,val,0,273,9,c7aaf13d
5xfv,D,training,4,313,17,cecf795b
5xgv,B,training,3,461,18,e4ef9247
5xgx,A,training,1,381,13,bacd5bf9
5xh3,A,training,3,261,8,a959578e
5xhr,A,training,2,359,8,cbb3795a
5xih,A,val,0,477,19,0ef8a8c2
5xio,B,testing,0,471,16,2a454f6f
5xj7,A,training,2,192,20,f912ee56
5xjn,A,val,0,403,25,3431cc63
5xk7,B,training,4,210,15,cde05e6c
5xkd,B,training,2,445,12,2c2147f3
5xlx,B,training,5,201,13,df25dcca
5xm3,C,val,0,596,16,7c87add2
5xnc,C,training,2,353,24,2aa82921
5xru,A,training,4,186,22,86b33cc7
5xs2,A,training,5,366,9,b4649e75
5xtg,B,training,1,233,16,40b03793
5xu8,A,training,2,327,10,74697696
5xun,A,training,4,170,18,3588b71b
5xv0,A,training,3,238,20,748fb15f
5xva,A,training,3,292,13,6504b462
5xvk,B,training,1,258,23,ab6037ea
5xvq,A,training,5,252,22,8e65c5a1
5xvr,A,training,2,381,16,044cb42c
5xvs,B,training,5,366,11,ea0bc4ef
5xvt,A,training,4,675,11,9366e003
5xw2,A,val,0,375,16,29fd6705
5xwc,A,training,5,459,27,2f37157f
5xxm,A,training,2,749,10,3b0ea949
5xxs,A,training,5,117,14,5ee67c8d
5xz2,B,training,1,192,24,cc2d1b84
5xz8,A,val,0,317,18,22f62dd2
5xza,A,training,4,322,10,e6629240
5y02,C,training,5,107,7,91a7ffa1
5y0q,A,training,1,401,11,24b180c2
5y0t,C,val,0,410,14,1f488059
5y1i,B,training,2,394,17,37cd7068
5y2w,A,training,1,208,11,ea039b88
5y37,A,testing,0,336,16,42e84b87
5y41,B,training,4,232,9,6b4d7d4d
5y5e,A,training,5,121,11,6424646b
5y5g,A,training,5,400,18,7e228e2b
5y5q,A,training,5,148,7,aad404e1
5y7x,B,training,2,262,17,86b836c6
5y80,A,training,3,306,15,b3773059
5y86,A,training,3,391,6,f07a236a
5y8l,B,training,2,290,14,12ae2634
5y9d,A,training,4,687,18,d71e489c
5yak,A,testing,0,215,18,aac9dd7a
5yb7,D,training,4,549,37,69bb2fd2
5ybi,A,val,0,331,7,7bda16d2
5ybl,C,training,1,252,7,6ab5df0e
5ybq,B,training,3,288,14,781afe35
5yce,A,testing,0,151,13,ecbcc180
5ych,A,training,2,153,12,8a95a827
5ycs,A,training,5,256,23,b9301c79
5yd2,A,training,1,349,8,d8e094f9
5ydl,A,val,0,408,8,cc996451
5yea,A,testing,0,372,13,a84aab6d
5yf0,A,training,5,336,14,6573572e
5yfu,A,training,1,322,19,609ac86f
5yfz,B,training,2,442,19,cf144e24
5yge,A,training,4,169,16,541bc4ea
5ygg,A,training,1,310,9,e90e04f9
5ygq,A,training,2,341,20,4c95d2ca
5yh7,A,training,1,163,14,548e29dd
5yic,A,training,5,328,12,e5154198
5yj6,A,val,0,636,7,99f631b0
5yj8,A,training,2,60,5,c0e38923
5yjw,A,training,4,454,29,2a8bb650
5yk0,A,testing,0,399,7,010a8fe4
5ykt,A,training,2,453,9,e8affe32
5yly,A,training,3,262,17,0c0d3894
5ymr,C,training,1,797,9,128d3122
5ynv,A,training,5,301,9,ad2f9932
5yp2,A,training,3,724,11,dc98145a
5ys9,A,val,0,692,20,3fc744a3
5ysm,A,training,5,364,15,2777e9e3
5ysp,A,training,3,274,12,78c75085
5yt0,A,val,0,331,12,0a00a3d7
5yu3,C,training,5,344,20,118e6f4f
5yuy,A,training,4,342,12,75dd01e0
5yvr,A,training,5,403,21,940b9d93
5ywn,A,training,5,333,19,4fdb067e
5yx4,A,training,3,232,6,da841c15
5yyc,A,training,3,368,10,242902e0
5yzh,A,training,1,412,12,c5f28e00
5z20,C,training,5,330,15,cfb43448
5z21,C,training,4,327,16,c358577d
5z2f,A,testing,0,265,22,7bfa4a96
5z2m,A,testing,0,172,20,4e502ca8
5z3i,A,training,1,247,6,32e9d943
5z46,B,training,4,291,14,7093a473
5z48,B,training,2,213,7,9b78a593
5z49,B,val,0,220,6,68046f1b
5z4m,A,training,5,350,9,a69b5c8b
5z5a,B,training,2,147,8,03f27a25
5z5c,C,training,2,296,11,ccb59347
5z5i,A,testing,0,504,12,63614f86
5z69,A,training,5,372,11,7707eca9
5z6t,A,val,0,317,24,fc3d1e6d
5z8a,A,training,1,408,13,d31a77f0
5z9j,C,testing,0,392,19,d322621b
5z9y,A,training,1,232,7,c631e0ba
5zai,B,training,2,257,10,e0e2c0f9
5zbk,A,testing,0,182,8,57a9060e
5zbl,C,training,1,176,9,cea7535e
5zbr,B,training,4,330,9,acba5fdd
5zc9,A,training,2,378,11,1906843f
5zcm,A,testing,0,329,19,9b8c5645
5zct,C,training,5,290,15,71e324de
5zcu,C,training,5,162,10,f15776bd
5zdk,A,training,1,543,8,f7ab14ee
5zdn,A,training,5,192,6,e118f8d3
5ze6,A,training,4,315,7,cd48e611
5ze9,A,val,0,588,10,e3df08dd
5zec,A,training,2,342,21,de398d61
5zee,B,testing,0,297,9,08676564
5zg1,B,val,0,258,5,85bb88a9
5zge,B,training,1,241,12,632059e6
5zhj,A,training,4,206,10,5d365898
5zi2,A,training,5,339,15,cb6239df
5zj5,A,training,1,160,18,6ed77e14
5zk4,B,training,1,287,6,cb0393f4
5zl6,A,training,2,372,10,b1160d85
5zm4,A,training,4,285,13,2c470fc8
5zmy,A,training,3,280,8,44264680
5znc,A,training,4,242,9,ad469de7
5zol,D,training,3,221,5,5170f8fa
5zq0,A,training,3,453,10,e63dccfc
5zqc,D,training,2,248,7,b2bb55b7
5zqk,A,training,4,874,13,6eba2cc7
5zqn,A,training,4,190,5,425547ee
5zro,A,training,1,128,11,435c6337
5zrr,A,training,4,262,8,e48c6019
5zsg,A,training,4,772,5,fd38c220
5zsj,A,training,2,772,11,7675d690
5ztb,B,training,3,311,12,243b4856
5zve,B,training,1,384,14,cd979ae7
5zw4,A,val,0,216,13,86462aca
5zw7,A,testing,0,383,13,ec6312ae
5zwb,A,training,1,269,12,52c59712
5zxd,B,training,5,481,17,5fcebd1e
5zxm,A,val,0,390,15,6d2ac1c4
5zxu,A,training,5,337,20,336fc39c
5zyn,B,training,5,471,32,5cb89d8a
5zz6,A,training,1,200,13,50606691
5zzr,A,training,3,334,17,e748b523
6a0t,B,training,4,332,27,96071411
6a15,A,training,3,439,15,ebf89a4a
6a2f,A,training,5,357,6,c4d82506
6a2j,A,training,5,309,16,33a76dce
6a2m,A,training,2,537,35,775c217e
6a2w,A,training,1,166,70,76028f7e
6a3g,D,training,3,371,17,298b119a
6a46,A,training,5,223,8,15db3020
6a4f,A,training,2,183,10,fe1fea87
6a5k,A,training,5,460,12,ae49f619
6a6a,B,training,1,181,7,8c9181e4
6a6q,A,val,0,344,15,bb90d496
6a8a,A,training,2,327,12,ff695d17
6a8h,A,training,3,315,10,7a4bfb9d
6a9a,A,training,1,246,15,4d750e06
6a9t,A,training,5,417,5,ac61d746
6aa8,E,training,1,281,13,887d6b81
6abw,A,training,1,369,14,7b61f0b9
6aby,B,training,3,371,10,a8f11e3f
6aci,A,training,5,304,11,8a058832
6ae9,A,training,5,251,5,7e061d83
6aek,A,training,5,726,10,580fe642
6af9,A,testing,0,187,11,ff88d591
6ag0,C,training,5,483,9,1c614d29
6ahe,B,training,5,260,28,0d1040bd
6ahs,A,training,5,224,10,658b620c
6aic,A,training,5,202,8,b4eb8f37
6aid,A,training,4,261,5,2c893945
6aik,B,training,2,308,17,37a0af45
6ain,B,training,5,395,18,7c7a7e36
6ajp,A,training,4,206,10,4561d764
6akd,A,training,3,488,15,c0cdafb7
6amh,A,val,0,388,16,7aac5f42
6ap7,A,val,0,264,12,b07e539b
6ap8,A,val,0,266,9,ea675442
6apl,B,training,4,295,11,2d5572c6
6aqj,A,training,4,326,18,404c0e4d
6ar4,B,testing,0,87,8,a7f5e62a
6arb,B,val,0,268,9,2e2e6380
6ary,A,training,4,537,11,1e369d99
6as6,A,testing,0,712,8,a45c005a
6at2,A,testing,0,535,13,b7474577
6aud,A,training,3,840,8,30f1bff9
6ayi,B,training,2,141,10,e79098c5
6ayq,A,training,3,229,12,b8d1e16c
6ayu,A,training,1,319,15,580aab85
6azq,A,training,5,226,8,bbb2963d
6b04,A,training,5,341,8,92a3145a
6b1k,C,training,3,114,9,132400e6
6b2m,C,training,1,255,14,58f17adb
6b2w,A,training,5,333,10,2233a8ea
6b3a,A,training,5,631,7,a1fadcff
6b5g,D,testing,0,492,29,89b0d43e
6b5k,A,training,4,277,24,c4d4f726
6b74,B,training,1,243,6,5ba5cca9
6b89,A,training,1,234,21,e2444976
6b92,A,training,2,260,9,93daf1f5
6b9f,A,val,0,411,18,246962fd
6b9i,B,training,1,278,12,dc465a14
6b9t,A,testing,0,447,7,1738fb36
6baf,A,training,2,303,14,e0874bc7
6bc3,A,testing,0,268,21,f3bbd5dc
6be0,A,training,4,266,17,0ee6d2f7
6bfh,A,training,3,176,7,c38ca1f9
6bfn,A,training,1,301,8,829f1572
6bfy,A,training,2,439,14,650df487
6bgy,A,training,4,297,8,16145ac6
6bii,A,training,1,332,21,66c5a56c
6bja,A,training,4,381,9,5efaae46
6bjb,A,training,2,384,18,43b3c108
6bk0,A,training,4,443,10,7b9e62aa
6bka,A,training,4,373,15,0f0a7711
6bkg,A,val,0,600,9,ba160ce8
6bkx,A,val,0,414,7,971f93bd
6bld,A,training,1,414,20,c306bed6
6bm5,A,training,4,325,8,e2e7d2ff
6bmy,A,training,4,480,24,8179de09
6box,A,testing,0,270,10,8ec88ad7
6bpf,A,testing,0,265,8,84122399
6bpm,A,training,5,711,12,8eeecaae
6bq5,A,training,5,292,8,b356601d
6bqa,A,training,4,102,6,6cdda0eb
6bqc,A,training,5,348,13,5c4d6314
6bqj,A,training,4,194,14,4916fbc1
6br5,A,training,3,387,11,a613c5f7
6br7,A,training,2,121,6,8a1c6ab1
6bs3,A,val,0,330,9,f4e4c6ef
6bsl,A,testing,0,201,12,7e475373
6bsr,A,training,2,418,8,5c9cb2a8
6bsw,B,val,0,337,8,789a621e
6bsx,D,training,2,168,18,9fadfff2
6bu0,A,training,5,123,6,216ed953
6bu3,B,training,4,262,12,8fa17705
6bum,C,training,4,363,10,edeaccf2
6buv,B,testing,0,191,5,95a5f06d
6bve,A,training,5,242,9,b7968519
6bwh,C,training,1,199,7,d042e338
6bwq,B,training,4,142,5,37666b36
6bxi,B,training,3,332,13,7240b6e7
6bxl,A,training,3,339,12,b8af64d6
6bxo,A,training,4,321,12,b0e09cbf
6bzt,A,training,4,501,23,b0191211
6c02,A,training,2,815,9,c804b541
6c0b,B,val,0,121,6,9d803c3f
6c0m,A,training,4,431,17,b48f5489
6c12,B,training,5,537,26,b5ed22a1
6c2z,A,testing,0,345,15,38f3a715
6c3m,A,testing,0,465,22,26512ae8
6c4m,C,testing,0,418,15,f52d8d77
6c5b,A,val,0,332,12,06a51ce7
6c5c,B,testing,0,383,18,8b63002f
6c6n,A,training,5,450,33,6c7d7b7b
6c76,A,training,4,378,19,572e2eda
6c7n,B,training,4,553,21,8e8ab8d7
6c80,A,training,3,478,24,1c0a8ab2
6c8r,B,training,3,356,21,de23bbf0
6c90,A,training,1,694,8,daa7267e
6c92,A,val,0,367,13,da95e672
6c9p,B,val,0,314,18,10e90b82
6cbn,B,training,5,409,15,0bb2f324
6cc0,B,training,4,233,13,40b35382
6cck,B,training,1,160,24,66fc9171
6cd1,A,training,2,452,13,6d7e754a
6cep,A,training,3,331,18,8faff9db
6ceq,B,training,5,111,13,7a8aa394
6cfg,B,training,4,176,7,4af6c28f
6cgn,A,training,2,674,6,bde7ed64
6cgp,A,testing,0,357,9,97696dc9
6cgz,C,training,4,275,9,ed92bd6f
6ci9,F,training,3,254,26,15040730
6cj9,A,training,3,237,8,78b6f492
6cjl,A,training,1,214,8,2d9f0a06
6ck0,B,training,1,210,25,513db49f
6ckk,A,training,3,225,13,6cbb2642
6clv,C,training,2,257,12,20851cb3
6coj,B,training,1,248,14,a305d3a5
6cr2,B,training,4,469,22,81451252
6cst,A,training,3,446,13,50663d59
6cul,A,training,5,264,5,437e42c5
6cvq,A,val,0,180,11,42ba5d86
6cxt,B,training,4,372,19,73917fe7
6cz4,A,val,0,257,14,bd6d30f1
6cz7,C,val,0,807,43,d6185cac
6czf,A,training,2,498,7,60b043b2
6czz,A,training,2,360,12,6f2e5afd
6d2n,A,training,1,209,6,ab6712ef
6d31,A,training,5,188,10,441ae3b5
6d3g,D,training,5,275,9,d7ac4dca
6d3m,A,testing,0,286,16,57c9f5ad
6d3u,B,training,1,260,5,72138607
6d4r,A,training,3,332,15,bc1e8793
6d50,A,testing,0,837,11,4f8c86b9
6d5x,B,training,5,183,13,ab75de73
6d6l,C,training,2,166,15,251fa4c8
6d6w,C,training,4,579,12,46db6ba1
6d71,A,testing,0,172,14,40b6d833
6d97,B,training,1,522,12,a518f131
6d9r,A,training,1,173,15,774259e9
6d9t,A,testing,0,376,12,fa3fdb8f
6da0,A,training,2,378,10,2d5efe69
6da9,A,training,5,463,11,b3645123
6dam,A,val,0,563,17,6c199dee
6dcb,A,training,3,225,15,adc425cb
6dcd,A,training,5,406,21,6acfd962
6de6,A,training,2,689,31,ef52f2db
6den,A,training,2,599,38,d2924cbc
6df4,A,training,5,134,10,e4318bc4
6dfe,B,training,5,325,10,7b959a2c
6dfl,A,training,4,236,6,54595fe2
6dh0,A,training,4,99,7,3f3e502f
6dh3,A,training,5,99,7,9abaff73
6dh8,A,training,1,99,6,b67db18e
6dhd,A,val,0,501,38,7a6785d3
6di7,A,training,4,279,14,66708ad4
6djt,A,val,0,297,6,ba96ee8b
6dll,C,training,4,397,17,b2db9c9f
6dnd,A,val,0,409,12,804b5252
6dnz,C,val,0,307,13,798ff9f1
6dqo,A,training,2,173,15,37e4d478
6dt4,A,training,5,203,9,2319ed6a
6dte,A,testing,0,339,9,f5e2f1e2
6dub,A,training,4,222,12,d0ff7f4e
6dux,A,testing,0,418,13,e460ae38
6dv4,A,training,3,99,8,81a03300
6dvh,A,training,3,394,17,3b620c2a
6dwd,C,training,5,481,33,befba398
6dxs,B,training,2,342,11,c73ef40e
6dys,A,training,1,213,10,f75bc5ff
6dyz,A,training,3,273,12,f6699f21
6e0l,A,training,3,292,13,2818039c
6e0n,A,testing,0,271,20,5b8e92df
6e1j,B,training,2,408,19,f70b144a
6e1q,A,training,3,569,7,e81cadd2
6e2b,A,training,4,76,8,ac37fb76
6e2n,A,training,3,263,12,6e97fb6c
6e2t,A,training,1,320,11,847df7a0
6e3a,A,val,0,180,22,09564f61
6e45,B,training,1,373,19,70c92e63
6e4v,A,training,3,672,9,cb69ed03
6ea9,A,training,4,195,15,4b33946a
6eac,B,val,0,476,13,50980d0c
6ech,B,training,3,525,20,72827823
6ect,A,training,5,279,13,a95e4ddd
6ecw,A,training,2,281,10,3b771100
6edv,A,training,5,184,10,031aa241
6ee1,B,training,2,729,17,57abe5cc
6ee2,A,training,3,519,13,34ebfff1
6eee,A,training,3,514,13,6296a8fe
6eev,A,training,1,374,5,079c1d0c
6efv,A,val,0,530,30,088b6479
6ehs,L,training,2,550,9,596a81c0
6ej7,A,testing,0,706,10,eeeaf368
6eku,A,training,1,755,11,4cda7fe0
6ekz,A,training,5,325,17,21e5b917
6el2,A,training,3,183,17,1651702b
6el3,B,training,1,350,21,2500085c
6emu,A,training,2,170,15,94a5a85d
6enh,A,training,2,366,10,39c4570d
6enx,A,training,5,267,25,8f6a7418
6eof,A,training,3,520,11,84bf271b
6ept,A,training,4,130,6,d528aaba
6eqm,A,training,2,378,14,a9998d23
6eqs,B,training,2,268,30,014592ff
6er9,A,training,1,531,37,4ec95866
6erk,A,training,4,420,7,c19ceb07
6es0,A,training,3,288,15,cd4c8a1c
6es9,A,training,2,545,23,619ed9ca
6et3,A,training,4,309,5,60a04b7d
6etv,A,training,3,330,7,3b3f038c
6eug,A,testing,0,347,6,a1cd56ed
6eur,A,training,1,343,9,e6301469
6ew3,A,testing,0,231,7,f8e51673
6ewz,A,testing,0,202,21,fcede0b8
6ex8,A,training,5,216,10,2ae54f43
6exm,A,val,0,236,10,be809ca5
6eyt,A,training,3,309,13,b8ee7170
6f05,B,training,4,205,8,8242cca3
6f0c,A,training,1,383,20,7e32d4d7
6f1j,A,training,4,301,6,f123184a
6f2b,C,training,3,326,8,dc96db24
6f2f,A,training,2,166,5,3ff2092e
6f30,B,training,4,722,14,7a600328
6f35,A,training,1,400,9,5d6e63a5
6f3f,A,training,1,448,8,72d8dc6a
6f3p,C,training,2,460,24,165552b7
6f5v,A,val,0,401,11,a2e134e7
6f5z,B,training,2,228,15,1e007068
6f6r,B,val,0,88,7,7116e65d
6f72,A,training,1,548,23,0bf73a7c
6f74,D,training,2,572,24,ea145dda
6f77,D,testing,0,399,12,26a783ad
6f7b,A,training,4,342,14,f66384bd
6f8a,B,training,1,394,19,e7c838a1
6f97,A,training,2,520,23,2e891003
6f9g,C,training,3,260,8,f5ce4a52
6f9q,A,training,3,257,24,f2271a47
6fbc,A,training,1,540,12,3771094a
6fbz,A,training,3,191,5,9a7aa7b4
6fc1,A,training,4,181,7,c6189cb4
6fch,A,val,0,178,9,1853da2a
6fcx,A,training,5,596,31,19cf865d
6fd3,A,training,4,296,13,3bf85f8f
6fdf,D,training,1,313,15,1d87b61d
6fdm,C,training,2,285,10,90af1744
6fex,A,training,4,289,13,085fe0df
6ff8,A,training,4,175,16,8ae8d31e
6fgc,A,training,1,412,17,02259ea2
6fh3,B,training,4,344,7,e7b91fd5
6fh4,B,training,4,75,6,72477ad2
6fiy,A,training,3,299,15,c70825cb
6fjk,A,val,0,424,24,d1263343
6fku,A,training,5,511,23,0f2f4b20
6fkw,A,training,1,576,17,76c66290
6flo,B,training,2,272,21,f48558e9
6fm7,A,testing,0,356,8,36e8ad3a
6fmc,A,training,4,158,10,e9c32c5b
6fng,A,val,0,277,13,6e68c514
6fnm,A,val,0,270,11,7dcf1371
6fnu,A,testing,0,296,16,05017c52
6foq,B,training,3,458,27,6c57b5ee
6fqz,A,training,2,468,8,53ae2cd1
6fs8,A,training,1,176,11,4191a8a5
6ft8,A,val,0,338,8,c521a9b9
6ftb,A,training,2,210,24,20c64999
6fu4,A,training,5,292,9,1aa56710
6ful,A,testing,0,478,7,b7fc6555
6fv4,A,training,4,381,10,fa15bbe3
6fws,A,val,0,686,11,50402e55
6fxr,A,training,1,700,19,c963ac35
6fyj,A,training,3,417,18,a0919a4b
6fyl,A,training,4,340,12,5a633dbe
6fyq,A,training,1,443,10,c22359c8
6fyr,A,training,2,355,7,10e15357
6fyv,A,training,5,329,12,e920aa21
6fzh,A,training,1,336,14,224025c3
6g01,A,training,3,387,10,8b8d6fad
6g15,A,val,0,287,12,0977c225
6g1b,J,val,0,308,5,ec6f1791
6g25,A,training,1,121,7,d3d7ebd1
6g28,A,val,0,359,21,95137cff
6g3r,A,training,1,380,12,c60bc325
6g40,A,training,3,316,11,20768d72
6g58,A,val,0,382,11,418e676b
6g5o,A,training,2,372,15,ef63c791
6g60,B,val,0,505,6,c37367b3
6g71,A,training,5,393,14,65c5cb11
6g77,A,training,5,291,19,22c7b15c
6g96,A,training,2,175,14,468d670e
6g9s,A,training,4,538,7,26332dac
6g9u,C,training,5,241,11,4220ca93
6ga0,A,training,5,154,6,4da80ce6
6gam,L,training,3,551,10,c293ac28
6gar,A,training,5,346,19,bbd21b6f
6gas,C,testing,0,327,23,a7942f12
6gdy,A,training,1,333,8,8ed7032e
6geh,A,training,1,256,21,85af5f6f
6gg7,A,training,1,338,13,18d4a4cf
6ggc,A,training,5,197,10,3107630d
6ghv,B,training,3,132,16,e462a4e1
6gi2,A,val,0,259,10,a463b657
6giu,A,val,0,275,11,6df28b27
6gj2,A,val,0,504,7,d4fa9dad
6gk5,A,training,4,403,16,32e1f6c4
6gkv,B,training,2,347,17,81179a00
6gmf,A,training,5,386,17,41fcb0c1
6gmo,A,training,3,439,13,b72da406
6gna,A,testing,0,284,19,86c88872
6gnc,A,training,1,287,20,3a529335
6gnf,C,testing,0,514,17,ba0f62e0
6gno,B,testing,0,114,7,bc4dc266
6gpu,A,testing,0,115,16,7561e5d6
6gq3,A,training,3,509,10,d7426159
6gsv,A,val,0,217,13,aa1c87db
6gu2,A,training,2,294,11,019da643
6gur,A,training,4,279,7,c8fc59cd
6gvd,A,training,4,531,12,2e3d953c
6gwi,A,training,2,449,11,2b9bfa5c
6gyh,A,training,4,225,12,a6a77f62
6gzd,A,training,2,297,13,9666ded9
6gzt,A,training,2,267,11,61a02b49
6h0b,B,training,4,521,12,9102cf6b
6h1e,A,training,3,207,13,a6b289c6
6h1h,A,training,5,287,7,7344bc74
6h1l,A,val,0,451,20,482c2f79
6h21,A,training,3,310,11,10e0d9ac
6h2u,A,training,4,201,18,0ea4c3fc
6h3d,A,training,5,428,14,903ee04d
6h40,A,training,2,220,17,c83f65e4
6h45,B,val,0,392,9,bc09ef0a
6h59,A,training,5,199,13,ba99c552
6h5e,B,val,0,394,12,8f651838
6h5w,A,training,5,585,18,12f763f9
6h7e,A,training,2,247,10,5365c1a5
6h8s,A,training,3,291,7,10bedce4
6h9x,A,training,3,428,18,09c7b18a
6hah,A,training,3,55,5,9e32c89f
6haz,A,testing,0,113,8,b5c7e310
6hb5,A,training,1,413,15,9c6aa201
6hcp,C,val,0,671,9,092c6e3a
6hcu,A,training,2,485,8,c5dbf8c7
6hcw,A,training,4,501,11,011a0cb5
6hde,B,training,5,152,12,122e85e2
6hdu,A,training,3,172,18,2e87138f
6hdx,A,training,5,474,15,79c69b05
6hdz,A,training,1,421,15,f1940464
6hg6,A,testing,0,313,16,ad2331e3
6hgi,A,training,4,338,5,b72c1d55
6hh2,A,training,4,174,12,d986c723
6hh4,B,training,2,329,19,bb74d1f4
6hhx,B,testing,0,580,16,eb348f21
6hhz,A,training,4,428,15,85d6c573
6hjf,A,training,3,355,8,e349ffbe
6hkq,A,training,3,165,5,0fb8580d
6hl7,C,training,4,322,6,f6ac7c7e
6hm1,A,training,4,386,13,3261d3b0
6hnd,A,training,4,467,13,c38db94e
6hns,A,training,1,443,34,4f36c369
6hnu,A,training,1,479,11,c77d910a
6hoy,B,training,4,276,23,c67ea0d0
6hqd,C,training,1,415,15,439f8326
6hql,A,training,1,402,22,d788c3b9
6hs0,B,testing,0,201,9,e6d78858
6hsh,B,training,2,410,9,50a5c8e4
6hsj,B,training,3,389,6,2c7919b6
6hvi,A,training,2,433,26,ae0c22d3
6hwl,B,training,5,397,7,09a039e7
6hwr,C,training,3,423,10,75ad4a90
6hxp,A,training,1,256,9,3228b403
6hxu,A,training,3,182,16,011b93e7
6hyi,B,val,0,289,22,a229702c
6hyj,A,training,3,221,5,d19f0ec8
6hyt,A,training,4,632,13,d75a18a2
6hzg,A,training,1,694,8,f14ffb06
6i01,A,training,2,512,17,d11023bd
6i0x,A,testing,0,420,10,06db489a
6i18,A,training,4,484,9,f19260c4
6i1i,A,training,3,322,10,195eb122
6i30,A,testing,0,358,6,ab830cea
6i4b,B,training,4,374,23,9b0d666d
6i4e,A,training,3,351,16,16948ab3
6i4m,A,training,4,357,17,eb20b5f6
